dataset_id,dataset_name,source_name,source_url,access_method,coverage_years,key_fields,citation,retrieval_date,methodology_notes,status,path
cbsl_ess_labour_market,Labour market,CBSL Economic & Social Statistics,https://www.cbsl.gov.lk,Excel/CSV download,~2000-present,"year|unemployment_pct|participation_pct","Central Bank of Sri Lanka, Economic & Social Statistics",pending,"Extract ESS labour tables with definitions",planned,data/cbsl-ess/labour_market.csv
cbsl_real_estate_land_price_index_quarterly,Land price index quarterly,CBSL Real Estate Price Indices,https://www.cbsl.gov.lk,Excel/PDF release,~2017-present,"quarter|province|index_level|yoy_change_pct|base_year","Central Bank of Sri Lanka, Residential Property Price Index",pending,"Extract quarterly land price index tables",planned,data/cbsl-real-estate/land_price_index_quarterly.csv
cbsl_real_estate_house_price_index_quarterly,House price index quarterly,CBSL Real Estate Price Indices,https://www.cbsl.gov.lk,Excel/PDF release,~2017-present,"quarter|province|index_level|yoy_change_pct|base_year","Central Bank of Sri Lanka, Residential Property Price Index",pending,"Extract quarterly house price index tables",planned,data/cbsl-real-estate/house_price_index_quarterly.csv
cbsl_condominium_prices_quarterly,Condominium prices quarterly,CBSL Condominium Market Survey,https://www.cbsl.gov.lk,PDF/Excel release,2017-present,"quarter|price_per_sqm|median_price|unit_size_sqm","Central Bank of Sri Lanka, Condominium Market Survey",pending,"Extract quarterly condominium price tables",planned,data/cbsl-condominium/condo_prices_quarterly.csv
cbsl_condominium_sales_volume_quarterly,Condominium sales volume quarterly,CBSL Condominium Market Survey,https://www.cbsl.gov.lk,PDF/Excel release,2017-present,"quarter|sales_count|new_supply_units","Central Bank of Sri Lanka, Condominium Market Survey",pending,"Extract quarterly condominium volume tables",planned,data/cbsl-condominium/condo_sales_volume_quarterly.csv
cbsl_annual_report_wage_rates_daily,Daily wage rates,CBSL Annual Report Chapter 4,https://www.cbsl.gov.lk,PDF tables,~1990-present,"year|sector|daily_wage_lkr|region","Central Bank of Sri Lanka, Annual Report (Chapter 4)",pending,"Extract wage tables from Annual Report Chapter 4",planned,data/cbsl-annual-report/wage_rates_daily.csv
dcs_hies_income_expenditure_by_category,Income and expenditure by category,DCS HIES Survey,https://www.statistics.gov.lk,PDF/Excel annexes,2002-2019,"survey_year|category|mean_income_monthly|mean_expenditure_monthly|share_pct","Department of Census and Statistics, HIES",pending,"Extract category-level income/expenditure tables",planned,data/dcs-hies/income_expenditure_by_category.csv
dcs_census_housing_stock,Housing stock,DCS Census of Population & Housing,https://www.statistics.gov.lk,PDF/Excel reports,2001-2012,"census_year|housing_type|tenure_type|households|avg_household_size","Department of Census and Statistics, Census of Population & Housing",pending,"Extract housing stock and tenure tables",planned,data/dcs-census/housing_stock.csv
dcs_qlfs_labour_force_quarterly,Quarterly labour force,DCS Quarterly Labour Force Survey,https://www.statistics.gov.lk,PDF/Excel reports,2000-present,"quarter|unemployment_pct|participation_pct|employment_sector_share","Department of Census and Statistics, QLFS",pending,"Extract QLFS headline indicators",planned,data/dcs-qlfs/labour_force_quarterly.csv
treasury_salary_circulars_public_service_salary_scales,Public service salary scales,Ministry of Finance Salary Circulars,https://www.treasury.gov.lk,PDF circulars,2004-present,"circular_date|grade|step|monthly_salary_lkr","Ministry of Finance, Salary Circulars",pending,"Extract salary scale tables by circular",planned,data/treasury-salary-circulars/public_service_salary_scales.csv
world_bank_open_data_indicators,World Bank Open Data indicators,World Bank Open Data,https://data.worldbank.org,API (JSON/CSV),1960-2024,"indicator_code|indicator_name|year|value","World Bank Open Data (LK)",pending,"Pull selected indicators via WB API with codes recorded",planned,data/world-bank/open_data_indicators.csv
imf_weo_macro_forecasts,IMF WEO macro forecasts,IMF World Economic Outlook,https://www.imf.org,Excel/CSV download,1980-2029,"year|gdp_growth_pct|inflation_pct|exchange_rate_lkr_usd|unemployment_pct","IMF World Economic Outlook",pending,"Extract Sri Lanka series with WEO release identifier",planned,data/imf-weo/macro_forecasts.csv
ceic_hies_cleaned,CEIC HIES cleaned series,CEIC Data,https://www.ceicdata.com,CSV/Excel export,1981-2019,"survey_year|mean_income_monthly|median_income_monthly|mean_expenditure_monthly","CEIC Data HIES series",pending_approval,"Paid source; confirm license and redistribution rights",needs_approval,data/ceic/hies_cleaned.csv
macrotrends_cpi_inflation_annual,Macrotrends annual CPI inflation,Macrotrends,https://www.macrotrends.net/countries/LKA,Web table,1960-2024,"year|inflation_pct","Macrotrends Sri Lanka Inflation",pending,"Confirm reuse terms before automated access",planned,data/macrotrends/cpi_inflation_annual.csv
worlddata_inflation_cumulative,WorldData cumulative inflation,WorldData.info,https://www.worlddata.info/asia/sri-lanka,Web table,1960-present,"year|cumulative_inflation_pct|price_index","WorldData.info Sri Lanka inflation",pending,"Confirm reuse terms before automated access",planned,data/worlddata/inflation_cumulative.csv
lpw_land_price_index_annual,LPW land price index,LankaPropertyWeb,https://www.lankapropertyweb.com,PDF reports,~2015-present,"year|province|index_level|change_pct","LankaPropertyWeb Property Index Reports",pending_approval,"Private publisher; confirm permission to reuse",needs_approval,data/lpw/land_price_index_annual.csv
lpw_house_price_index_annual,LPW house price index,LankaPropertyWeb,https://www.lankapropertyweb.com,PDF reports,~2015-present,"year|province|index_level|change_pct","LankaPropertyWeb Property Index Reports",pending_approval,"Private publisher; confirm permission to reuse",needs_approval,data/lpw/house_price_index_annual.csv
global_property_guide_colombo_house_prices,Colombo house prices per sqm,Global Property Guide,https://www.globalpropertyguide.com/asia/sri-lanka,Web tables,~2010-present,"year|price_usd_per_sqm|source_note","Global Property Guide Sri Lanka",pending_approval,"Check terms for automated access and reuse",needs_approval,data/global-property-guide/colombo_house_prices_usd_sqm.csv
advocata_housing_affordability_metrics,Housing affordability metrics,Advocata Institute,https://www.advocata.org,PDF reports,report years,"report_year|affordability_index|income_to_price_ratio|notes","Advocata Institute research publications",pending,"Extract metrics from published reports",planned,data/advocata/housing_affordability_metrics.csv
verite_household_finance_metrics,Household finance metrics,Verite Research,https://www.veriteresearch.org,PDF briefs,report years,"report_year|real_income_change_pct|poverty_estimate_pct|notes","Verite Research publications",pending,"Extract indicators from published briefs",planned,data/verite/household_finance_metrics.csv
pricelanka_vehicle_prices_by_model,Vehicle prices by model,PriceLanka.lk,https://www.pricelanka.lk,Web listings,2018-present,"as_of_date|make|model|condition|price_lkr","PriceLanka.lk listings",pending_approval,"Private marketplace; confirm permission or alternate source",needs_approval,data/pricelanka/vehicle_prices_by_model.csv
riyasewana_used_vehicle_listings,Used vehicle listings,Riyasewana,https://www.riyasewana.com,Web listings,~2010-present,"listing_date|make|model|model_year|price_lkr|mileage_km","Riyasewana listings",pending_approval,"Private marketplace; confirm permission or alternate source",needs_approval,data/riyasewana/used_vehicle_listings.csv
ikman_used_vehicle_listings,Used vehicle listings,ikman.lk,https://ikman.lk,Web listings,~2010-present,"listing_date|make|model|model_year|price_lkr|mileage_km","ikman.lk listings",pending_approval,"Private marketplace; confirm permission or alternate source",needs_approval,data/ikman/used_vehicle_listings.csv
glwc_living_wage_reference,Living wage reference,Global Living Wage Coalition,https://www.globallivingwage.org,PDF report,2022,"year|location|living_wage_monthly_lkr|methodology","Global Living Wage Coalition Living Wage Reference Value",pending,"Extract single-year living wage reference",planned,data/glwc/living_wage_reference.csv
ilo_mean_wages_annual,Mean wages annual,ILO ILOSTAT,https://ilostat.ilo.org,API/CSV export,1990-present,"indicator_code|year|value|unit","ILOSTAT database",pending,"Pull indicator series with metadata preserved",planned,data/ilo/mean_wages_annual.csv
moe_private_school_fees,Private school fees,Ministry of Education,https://www.moe.gov.lk,Reports/circulars,report years,"year|school_type|grade_band|monthly_fee_lkr|notes","Ministry of Education publications",pending,"Extract fee schedules from circulars/reports",planned,data/moe/private_school_fees.csv
moh_health_expenditure_per_capita,Health expenditure per capita,Ministry of Health Annual Health Bulletin,https://www.health.gov.lk,PDF bulletin,2000-present,"year|health_expenditure_lkr|health_expenditure_usd|notes","Ministry of Health Annual Health Bulletin",pending,"Extract health expenditure tables",planned,data/moh/health_expenditure_per_capita.csv
world_bank_hnp_health_expenditure,World Bank HNP health expenditure,World Bank HNP Data,https://data.worldbank.org,API (JSON/CSV),1995-present,"indicator_code|year|value","World Bank HNP Data",pending,"Pull HNP indicators via WB API with codes recorded",planned,data/world-bank-hnp/health_expenditure.csv
cbsl_ccpi_monthly,CCPI monthly,CBSL CCPI Monthly,https://www.cbsl.gov.lk,Excel/CSV release,2003-present,"month|index_level|yoy_change_pct|base_year","Central Bank of Sri Lanka CCPI",pending,"Extract monthly CCPI series with base year",planned,data/cbsl-ccpi/ccpi_monthly.csv
un_data_education_health_spending,UN Data education and health spending,UN Data,https://data.un.org,API/CSV export,1990-present,"indicator_code|year|value","UN Data",pending,"Pull education and health spending indicators with codes",planned,data/un-data/education_health_spending.csv
derived_era_affordability,Era affordability snapshot (derived),CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,Derived from existing CSVs,2002-2024,"era_label|survey_year|mean_income_monthly_lkr|mean_expenditure_monthly_lkr|inflation_index_2003_base|exchange_rate_lkr_usd","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",2026-06-01,"Derived from HIES national data, macro indicators, and exchange rates; includes 2024 estimate based on 2019 HIES inflated by CCPI",derived,data/derived/era_affordability.csv
derived_inflation_exchange_series,Inflation & exchange series (derived),CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,Derived from existing CSVs,2003-2024,"year|ccpi_annual_avg_pct|inflation_index_2003_base|exchange_rate_lkr_usd","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",2026-06-01,"Cumulative inflation index computed from CCPI annual average inflation; exchange rate from CBSL tables",derived,data/derived/inflation_exchange_series.csv
